Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(test.py:10110): Gdk-CRITICAL **: 13:42:03.065: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
(6_w,12)-aCMA-ES (mu_w=3.7,w_1=40%) in dimension 17 (seed=1016578, Tue Jul 28 13:42:03 2020)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
   83    996 1.033658592642877e-02 2.5e+00 2.89e-01  2e-01  3e-01 4:35.8
   90   1080 8.183427096902819e-03 2.5e+00 2.25e-01  2e-01  2e-01 4:58.7
   98   1176 5.584858050051758e-03 2.5e+00 1.96e-01  2e-01  2e-01 5:24.3
  100   1200 8.441135455882112e-03 2.5e+00 2.14e-01  2e-01  2e-01 5:30.8
  108   1296 4.759165819918488e-03 2.8e+00 1.52e-01  1e-01  2e-01 5:56.8
  117   1404 3.453014974814773e-03 3.0e+00 1.06e-01  8e-02  1e-01 6:24.4
  126   1512 2.511240558494483e-03 3.9e+00 9.42e-02  7e-02  1e-01 6:53.9
  135   1620 2.518537460807147e-03 4.4e+00 9.88e-02  7e-02  1e-01 7:22.1
  145   1740 2.125314104147163e-03 5.7e+00 1.07e-01  8e-02  1e-01 7:53.2
  155   1860 2.066428539202512e-03 6.7e+00 7.42e-02  5e-02  9e-02 8:25.1
  165   1980 1.763060986949284e-03 8.3e+00 6.87e-02  5e-02  9e-02 8:57.4
  175   2100 1.625620884043530e-03 9.0e+00 4.84e-02  3e-02  6e-02 9:30.0
  186   2232 1.574859196279293e-03 9.7e+00 3.35e-02  2e-02  4e-02 10:04.6
  197   2364 1.530068440513964e-03 1.0e+01 3.11e-02  2e-02  4e-02 10:38.8
  200   2400 1.476152580445721e-03 1.0e+01 3.30e-02  2e-02  4e-02 10:44.5
  212   2544 1.405507394218427e-03 1.1e+01 3.08e-02  2e-02  4e-02 11:21.6
  224   2688 1.305169721716699e-03 1.2e+01 2.99e-02  2e-02  4e-02 11:59.6
  236   2832 1.213258064245160e-03 1.3e+01 2.73e-02  2e-02  3e-02 12:37.6
  253   3036 1.085840909791121e-03 1.5e+01 2.96e-02  2e-02  3e-02 13:17.5
  268   3216 1.059631138879853e-03 1.5e+01 2.11e-02  1e-02  2e-02 13:58.1
  285   3420 1.002895548075234e-03 1.6e+01 2.66e-02  1e-02  3e-02 14:41.4
  299   3588 9.526996853196392e-04 1.9e+01 2.00e-02  1e-02  2e-02 15:25.5
  300   3600 9.491313702479314e-04 2.0e+01 2.03e-02  1e-02  2e-02 15:28.6
  314   3768 9.068031122800483e-04 2.1e+01 2.80e-02  1e-02  3e-02 16:13.2
  330   3960 8.328107767176444e-04 2.8e+01 3.47e-02  2e-02  4e-02 16:59.8
  348   4176 6.964961019859988e-04 3.1e+01 4.03e-02  2e-02  6e-02 17:45.9
  364   4368 5.093176645159852e-04 3.6e+01 5.14e-02  2e-02  8e-02 18:34.4
  380   4560 3.895908377301774e-04 4.1e+01 4.94e-02  2e-02  8e-02 19:23.5
  396   4752 3.219256719951028e-04 4.0e+01 3.65e-02  2e-02  6e-02 20:12.9
  400   4800 2.816439481782545e-04 4.1e+01 2.80e-02  1e-02  4e-02 20:25.6
  417   5004 2.757541153922022e-04 4.1e+01 1.84e-02  7e-03  3e-02 21:17.7
  434   5208 2.721194354593437e-04 4.0e+01 8.96e-03  3e-03  1e-02 22:10.9
  453   5436 2.710999573006469e-04 4.4e+01 5.82e-03  2e-03  9e-03 23:04.1
  471   5652 2.695771375756438e-04 4.8e+01 8.33e-03  3e-03  1e-02 24:00.8
  490   5880 2.679076340315800e-04 5.6e+01 9.02e-03  3e-03  1e-02 24:58.8
  500   6000 2.669564610350313e-04 5.9e+01 7.80e-03  3e-03  1e-02 25:27.7
  519   6228 2.644677626728195e-04 7.4e+01 1.25e-02  4e-03  2e-02 26:27.6
  538   6456 2.624089310368634e-04 9.1e+01 1.24e-02  4e-03  2e-02 27:27.8
  559   6708 2.573598330100065e-04 1.2e+02 1.31e-02  4e-03  2e-02 28:28.3
  580   6960 2.525167182918595e-04 1.4e+02 1.66e-02  5e-03  3e-02 29:28.5
  600   7200 2.463245570336538e-04 1.5e+02 1.45e-02  3e-03  3e-02 30:23.9
  622   7464 2.411166212976170e-04 1.5e+02 1.72e-02  3e-03  4e-02 31:28.9
  645   7740 2.374648360991528e-04 1.5e+02 1.78e-02  3e-03  4e-02 32:33.4
  669   8028 2.342941758930125e-04 1.4e+02 1.44e-02  2e-03  3e-02 33:37.6
  690   8280 2.318499307475232e-04 1.5e+02 9.24e-03  1e-03  2e-02 34:43.3
  700   8400 2.309985739965000e-04 1.6e+02 8.95e-03  1e-03  2e-02 35:15.4
  730   8760 2.285736036783938e-04 2.0e+02 1.34e-02  2e-03  3e-02 36:23.1
  757   9084 2.274041466538379e-04 1.9e+02 1.59e-02  2e-03  3e-02 37:31.8
  786   9432 2.262583098665350e-04 1.8e+02 1.04e-02  1e-03  2e-02 38:40.9
  800   9600 2.259203357192214e-04 1.9e+02 1.06e-02  1e-03  2e-02 39:20.1
  827   9924 2.245830612269209e-04 2.2e+02 1.59e-02  2e-03  2e-02 40:32.8
  834  10008 2.244265016603106e-04 2.2e+02 1.32e-02  1e-03  2e-02 40:53.7
termination on maxfevals=10000.0 (Tue Jul 28 14:22:59 2020)
final/bestever f-value = 2.242764e-04 2.242518e-04
incumbent solution: [-1.33357207  3.84035153  1.8639967  -4.27725162  4.20667157 -2.12609232
 -0.43609205  3.27604984 ...]
std deviations: [0.0047034  0.00221141 0.00436906 0.00691016 0.00637831 0.00553705
 0.01998479 0.01265612 ...]
(0.00022425175478613747, array([-1.33376432,  3.84349682,  1.86196882, -4.28187801,  4.20544088,
       -2.1314517 , -0.46316528,  3.28836356, -3.07984762,  1.12270532,
       -3.25502528,  3.30670145, -3.00967137, -0.1431616 , -0.37816515,
        3.79894233, -5.06833078]))
